Number,Timestamp,Gender,Age,Breed,Household Cats,Housing,Area,Ext,Obs,Shy,Calm,Scared,Intelligent,Vigilent,Persistent,Affectionate,Friendly,Solitary,Rough,Dominant,Aggressive,Impulsive,Predictable,Distracted,Abundance,PredBirds,PredMamm,Additional Comments
1040,2021-03-06 17:33:08 UTC,F,<1,EUR,2,AWB,U,2,2,5,4,3,3,4,4,4,5,2,1,2,3,3,4,4,3,0,3,"She brings back earthworms, dead leaves."
1041,2021-03-06 17:33:41 UTC,F,[2-10],BRI,1,AWB,U,1,2,2,4,5,4,5,4,4,4,4,2,4,5,4,3,4,3,0,0,
1042,2021-03-06 17:33:43 UTC,M,>10,EUR,4,IH,R,2,2,4,5,2,5,5,5,5,1,4,3,1,3,3,4,3,3,0,1,"I have outdoor cattery, which reduces predation"
1043,2021-03-06 17:35:10 UTC,M,[1-2],BRI,1,SH,R,1,1,2,5,3,3,4,2,2,2,1,1,3,3,3,3,5,3,0,0,
1044,2021-03-06 17:37:08 UTC,M,<1,EUR,1,IH,R,1,2,2,1,1,5,4,4,5,4,5,5,3,1,1,4,3,3,0,0,They go out very regularly but on a leash and being a student I live with my mother in a house but also in my ASB but both we green it he goes out at least 4 times a week
1045,2021-03-06 17:37:46 UTC,F,[1-2],NR,1,SH,PU,2,1,4,4,4,1,3,3,1,2,3,3,3,2,3,3,3,3,0,0,
1046,2021-03-06 17:39:19 UTC,F,[1-2],EUR,1,IH,R,2,2,4,4,5,4,3,3,5,4,3,2,2,3,2,4,3,3,0,3,
1047,2021-03-06 17:42:44 UTC,F,[2-10],RAG,3,IH,R,0,2,1,4,3,4,4,4,4,1,4,1,4,3,4,2,4,3,0,0,She drinks water from the tap.  She is very temperamental
1048,2021-03-06 17:43:40 UTC,M,[1-2],EUR,2,IH,R,2,2,3,4,3,3,4,4,5,1,1,1,1,1,1,1,1,3,0,0,
1049,2021-03-06 17:44:50 UTC,F,[2-10],Other,3,IH,R,1,1,4,4,4,4,4,4,4,4,4,1,4,1,2,2,4,3,0,1,
105,2021-03-07 03:30:20 UTC,M,[2-10],NR,5+,IH,R,0,3,2,2,2,1,1,1,1,2,2,2,3,2,2,2,2,DK,0,0,Don't go out. So no capturing anime
1050,2021-03-06 17:46:46 UTC,F,<1,MCO,3,IH,R,1,2,1,1,1,4,1,4,3,4,1,2,3,3,4,4,4,3,0,0,"She is not afraid of anything or anyone, even the vacuum cleaner, she tries to hit it with her paw 😂"
1051,2021-03-06 17:51:43 UTC,F,<1,Other,1,IH,R,0,2,2,5,3,4,4,4,5,5,1,1,3,3,3,2,1,3,0,0,"No outdoor outings, enclosures not yet available, R'IHone is the future first mother of a British Longhair breed cat breeding"
1052,2021-03-06 17:51:53 UTC,F,[2-10],NR,2,SH,PU,1,2,2,4,4,4,4,4,5,4,2,1,4,2,2,5,2,3,0,0,Our kitten is attached when she is outside she can however seize in a tree .. there is a road axis at qq meters from the house we are afraid that she will go on this axis
1053,2021-03-06 17:53:52 UTC,M,>10,EUR,2,IH,R,1,3,3,4,3,4,4,4,5,3,1,2,2,2,2,2,2,3,0,1,
1054,2021-03-06 17:53:59 UTC,M,<1,DK,1,IH,R,1,1,1,3,2,3,3,2,2,2,1,2,1,3,3,3,3,3,0,0,
1055,2021-03-06 17:54:58 UTC,F,[2-10],NR,2,SH,PU,1,2,4,4,2,4,4,4,4,2,4,2,2,4,4,4,1,3,0,0,Ditto that for her sister road axis near our house she is tied when she is outside but can move without the trees playing the hedge ..
1056,2021-03-06 17:56:28 UTC,M,<1,EUR,1,SH,U,0,2,1,4,1,5,5,5,5,5,1,1,1,1,1,5,3,3,0,0,
1057,2021-03-06 17:56:42 UTC,M,[2-10],DK,2,AWB,U,0,3,2,2,2,5,5,5,5,4,1,3,5,3,3,3,4,3,0,0,
1058,2021-03-06 18:00:08 UTC,F,<1,EUR,3,IH,R,2,3,1,3,1,5,4,4,5,5,1,4,3,1,3,4,4,3,0,0,
1059,2021-03-06 18:03:55 UTC,F,<1,DK,2,SH,R,0,2,4,4,1,3,3,4,3,1,4,1,2,1,1,2,4,3,0,0,
106,2021-03-07 07:56:31 UTC,M,[1-2],NR,1,ANB,U,0,2,1,4,3,4,3,3,5,5,1,1,3,3,2,3,2,DK,0,0,For the last questions my answers are not to be taken into account because I have no outside and my cat does not go out
1060,2021-03-06 18:05:18 UTC,M,[1-2],DK,2,SH,R,0,2,1,1,1,3,3,4,4,4,1,1,2,1,1,2,4,3,0,0,
1061,2021-03-06 18:06:42 UTC,F,<1,EUR,1,AWB,U,0,2,3,4,4,4,4,3,5,3,2,2,2,2,2,3,3,3,0,0,"I live on the 7th floor. She has already been on the balcony 2 or 3 times but it is me who is afraid  when I see her pass the pasta through the bars. She reassures herself with the presence of the dog I have had for 2 months. My pussy at 6 months, soon sterilization 🥴"
1062,2021-03-06 18:12:46 UTC,F,[1-2],BRI,1,IH,R,0,2,2,5,3,5,5,5,4,5,4,1,2,3,3,3,3,3,0,0,
1063,2021-03-06 18:13:15 UTC,M,[2-10],NR,2,AWB,PU,0,2,4,5,1,4,2,2,4,2,3,2,2,1,1,4,3,3,0,0,Indoor only 
1064,2021-03-06 18:15:07 UTC,M,[1-2],NR,2,AWB,PU,0,2,1,3,1,4,3,5,5,5,1,2,2,2,3,4,3,3,0,0,Indoor only 
1065,2021-03-06 18:17:14 UTC,F,[2-10],NR,1,IH,U,0,2,1,4,3,4,2,4,5,4,2,2,2,1,1,4,4,3,0,0,
1066,2021-03-06 18:19:02 UTC,M,[1-2],BRI,2,IH,R,0,3,2,5,1,5,4,5,5,4,2,1,1,1,1,4,1,3,0,0,
1067,2021-03-06 18:20:05 UTC,F,<1,EUR,2,IH,PU,2,2,3,4,4,5,5,5,5,3,2,2,1,2,3,4,4,3,0,0,
1068,2021-03-06 18:24:56 UTC,M,[2-10],EUR,3,SH,R,2,2,1,3,3,4,5,5,5,5,1,2,3,4,3,4,4,3,0,0,
1069,2021-03-06 18:28:53 UTC,M,>10,EUR,3,SH,R,2,2,5,5,1,3,5,5,5,5,1,1,4,5,3,4,3,3,0,0,
107,2021-03-07 08:22:31 UTC,M,[1-2],EUR,2,SH,U,0,2,2,2,4,5,3,4,5,3,1,3,2,2,3,3,3,DK,0,0,
1070,2021-03-06 18:30:08 UTC,M,>10,EUR,1,IH,R,1,3,4,4,5,4,4,3,5,4,4,1,1,1,1,5,3,3,0,0,Nothing brought us a single beast! Very fearful doesn't want to go out if we're not out
1071,2021-03-06 18:31:28 UTC,F,[2-10],BRI,2,SH,PU,1,2,4,4,4,4,3,3,4,1,4,2,1,2,1,3,3,3,0,0,Attached outdoors with 5m leash
1072,2021-03-06 18:32:45 UTC,M,<1,NR,1,SH,R,2,2,2,2,4,3,3,4,1,2,4,4,4,2,5,1,3,3,0,0,
1073,2021-03-06 18:32:46 UTC,F,<1,NR,2,IH,R,2,2,4,4,4,4,4,4,5,4,4,1,1,3,1,4,4,3,0,0,
1074,2021-03-06 18:37:38 UTC,F,[2-10],EUR,1,SH,PU,0,3,5,5,4,5,5,2,5,5,1,1,1,3,1,5,5,3,0,0,He does not go outside 0 except with a leash
1075,2021-03-06 18:38:53 UTC,M,<1,NR,2,SH,PU,2,2,1,3,1,4,3,3,5,5,1,1,2,1,2,5,5,3,0,3,
1076,2021-03-06 18:38:57 UTC,M,<1,NR,1,SH,R,0,2,4,2,3,5,5,3,4,2,3,3,3,3,4,4,4,3,0,0,
1077,2021-03-06 18:39:02 UTC,M,[2-10],BRI,1,AWB,PU,3,3,5,3,4,3,3,1,4,4,3,1,2,4,2,5,2,3,0,0,IHaule all the time
1078,2021-03-06 18:39:31 UTC,M,>10,EUR,4,SH,R,0,0,1,5,2,4,4,5,5,5,4,1,1,1,1,5,2,3,0,0,He does not go out because he is 16 years old and has health concerns
1079,2021-03-06 18:41:28 UTC,M,[2-10],EUR,4,SH,R,0,3,1,3,1,3,1,5,4,4,1,3,4,1,5,3,5,3,0,0,
108,2021-03-07 08:23:57 UTC,F,<1,SPH,2,SH,U,0,2,4,4,3,4,5,3,4,2,5,3,2,3,4,3,3,DK,0,0,
1080,2021-03-06 18:41:40 UTC,M,[2-10],MCO,4,SH,PU,3,1,5,5,4,4,5,4,5,1,5,1,3,1,1,4,2,3,0,0,
1081,2021-03-06 18:43:47 UTC,M,[2-10],EUR,4,SH,R,2,2,4,3,4,4,4,4,4,4,4,1,2,1,2,1,1,3,0,1,
1082,2021-03-06 18:45:23 UTC,F,>10,SPH,4,SH,R,1,3,4,4,5,5,5,5,5,4,5,3,4,5,5,1,4,3,0,0,
1083,2021-03-06 18:47:19 UTC,F,<1,EUR,2,SH,U,0,2,3,1,1,4,4,5,3,1,3,2,1,1,1,1,1,3,0,0,
1084,2021-03-06 18:48:11 UTC,M,[1-2],NR,1,ANB,R,0,2,2,2,4,4,5,2,5,5,3,3,3,4,4,4,5,3,0,0,I answered the last 3 questions but it doesn't come out 0
1085,2021-03-06 19:03:38 UTC,F,[2-10],BRI,2,IH,R,1,1,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,3,0,0,
1086,2021-03-06 19:04:18 UTC,F,<1,EUR,1,IH,PU,1,2,3,2,3,2,2,2,3,3,2,2,1,3,2,1,2,3,0,0,
1087,2021-03-06 19:06:20 UTC,M,<1,NR,2,IH,R,0,2,3,4,3,4,4,4,5,4,2,1,1,2,2,3,3,3,0,0,
1088,2021-03-06 19:06:24 UTC,F,[1-2],BRI,5+,IH,R,0,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,3,0,0,
1089,2021-03-06 19:13:34 UTC,F,<1,BRI,5,IH,R,0,2,1,4,1,5,4,5,5,4,1,3,1,1,2,4,4,3,0,0,
109,2021-03-07 09:16:25 UTC,F,[2-10],BRI,5+,SH,U,0,2,1,4,1,1,2,5,4,4,2,2,5,4,2,4,1,DK,0,0,
1090,2021-03-06 19:23:30 UTC,M,<1,BRI,1,SH,PU,1,3,3,4,3,5,5,5,3,3,3,1,1,1,1,1,2,3,0,0,Leash spell in the garden
1091,2021-03-06 19:27:01 UTC,F,[1-2],EUR,5+,SH,PU,3,2,3,4,5,5,5,5,2,1,5,1,1,3,4,3,1,3,0,3,
1092,2021-03-06 19:29:12 UTC,M,[2-10],EUR,5+,SH,PU,2,2,5,5,4,5,4,4,4,3,2,1,1,1,5,5,1,3,0,0,He plays with small rodents that he finds outside but does not kill them (he brings them back to my house alive)
1093,2021-03-06 19:36:51 UTC,F,[2-10],EUR,2,SH,U,2,2,4,3,5,5,5,5,5,5,3,2,1,1,1,4,5,3,0,2,
1094,2021-03-06 19:56:14 UTC,F,>10,BRI,2,IH,R,0,2,1,5,2,3,2,4,5,5,1,5,2,2,1,3,4,3,0,0,
1095,2021-03-06 20:10:59 UTC,F,[2-10],EUR,1,IH,R,1,2,2,2,5,5,4,5,4,2,4,4,4,4,4,4,4,3,0,0,
1096,2021-03-06 20:20:38 UTC,M,[2-10],NR,2,SH,R,2,1,3,5,1,4,5,3,5,4,3,1,3,5,3,3,2,3,0,0,"Castrated and doIHnant cat with outdoor cats
Hunt and prey unknown due to lack of garden but goes out to a back park"
1097,2021-03-06 20:21:58 UTC,F,<1,NR,1,SH,R,1,2,3,4,1,5,5,5,3,3,4,1,1,1,2,4,3,3,0,0,
1098,2021-03-06 20:29:17 UTC,F,[1-2],TUR,3,IH,R,0,2,1,5,1,5,5,5,5,5,1,1,1,1,1,5,4,3,0,0,"Answer for TUR, my EUR is the opposite"
1099,2021-03-06 20:52:17 UTC,F,<1,EUR,1,AWB,U,0,2,2,4,2,4,4,5,4,5,2,1,1,1,1,1,4,3,0,0,
11,2021-02-12 20:07:44 UTC,DK,[1-2],MCO,3,ANB,U,0,2,2,3,2,4,2,4,2,4,3,2,4,2,4,2,3,DK,0,0,
110,2021-03-07 09:33:41 UTC,M,<1,BRI,1,ANB,U,0,2,1,3,3,4,5,4,4,4,2,1,1,1,2,3,5,DK,0,0,
1100,2021-03-06 20:56:12 UTC,M,<1,BRI,1,IH,R,0,3,1,4,2,5,5,5,5,5,1,1,2,2,2,2,4,3,0,0,
1101,2021-03-06 20:57:38 UTC,F,[1-2],BIR,2,IH,R,1,3,4,3,3,4,5,5,5,3,2,2,2,1,3,4,5,3,0,0,This is a cat that only goes out under surveillance for 1 hour maximum per day so no possibility to hunt but very curious that she hears a bird for example
1102,2021-03-06 21:05:46 UTC,M,[2-10],BRI,1,IH,R,0,2,5,4,3,3,5,4,3,3,5,1,3,3,1,4,2,3,0,0,"Indoor cat, did not see a mouse but his toy mouse, he uses it like a real one It's funny."
1103,2021-03-06 21:06:52 UTC,M,[1-2],BRI,2,IH,R,0,2,1,3,1,3,3,3,3,3,1,2,3,3,3,3,3,3,0,0,
1104,2021-03-06 21:09:33 UTC,M,<1,EUR,1,IH,R,1,3,4,4,4,5,4,4,4,4,2,2,2,2,4,4,4,3,0,0,He's not a little afraid to go outside when I'm not with him
1105,2021-03-06 21:14:20 UTC,M,[2-10],BRI,2,SH,R,0,2,1,4,3,3,5,4,5,4,2,2,5,1,2,4,1,3,0,0,
1106,2021-03-06 21:26:20 UTC,F,<1,CHA,1,ANB,U,0,3,3,3,3,4,4,4,5,3,3,2,2,3,3,4,3,3,0,0,
1107,2021-03-06 21:28:42 UTC,F,<1,NR,1,IH,PU,0,2,1,3,4,4,2,4,5,5,2,2,4,3,4,3,4,3,0,0,"As my kitten does not come out, it is impossible to say if he would bring me prey or not. But given his behavior, I would say yes. A real toy hunter. She even jumps on my mother's dog haha"
1108,2021-03-06 21:32:20 UTC,F,>10,EUR,2,IH,R,3,2,4,5,4,3,3,3,5,2,4,1,3,2,3,4,3,3,0,1,
1109,2021-03-06 22:06:03 UTC,F,<1,NR,4,IH,U,2,2,1,3,1,4,4,3,5,4,1,1,3,4,3,4,2,3,0,0,
111,2021-03-07 10:10:13 UTC,M,<1,BRI,2,ANB,U,0,2,1,3,2,4,5,5,3,5,4,1,1,1,2,3,5,DK,0,1,
1110,2021-03-06 22:15:29 UTC,M,[2-10],EUR,4,SH,U,0,2,1,2,1,4,2,4,5,5,4,4,4,5,5,3,5,3,0,0,
1111,2021-03-06 22:17:54 UTC,F,[2-10],EUR,4,SH,U,0,2,1,2,2,5,4,5,5,4,4,2,4,4,3,4,2,3,0,0,
1112,2021-03-06 22:26:31 UTC,F,[2-10],EUR,3,AWB,PU,1,3,4,3,3,5,4,4,5,2,1,3,3,1,3,4,5,3,0,0,Curious
1113,2021-03-06 22:30:57 UTC,F,[2-10],BRI,2,AWB,U,1,3,5,5,2,4,5,3,2,1,4,1,1,1,2,4,2,3,0,0,
1114,2021-03-06 22:32:49 UTC,M,[1-2],BIR,1,IH,R,1,3,4,5,1,5,4,4,5,5,1,1,1,1,1,3,3,3,0,0,
1115,2021-03-06 22:34:30 UTC,M,[1-2],MCO,1,IH,R,1,3,3,4,3,5,4,4,4,4,3,3,3,2,2,3,3,3,0,0,
1116,2021-03-06 22:36:07 UTC,M,[2-10],SAV,5+,SH,U,2,2,1,4,1,5,5,5,5,5,1,1,1,1,1,3,4,3,0,0,
1117,2021-03-06 22:45:38 UTC,F,<1,BEN,1,SH,U,0,2,2,1,3,5,5,5,3,2,3,4,4,3,3,4,3,3,0,0,Cat half BEN and abissan.
1118,2021-03-06 22:46:24 UTC,M,>10,BRI,4,IH,R,1,2,2,5,1,5,5,4,5,2,2,1,1,1,1,4,2,3,0,1,Very homey
1119,2021-03-06 22:46:49 UTC,M,<1,DK,4,SH,PU,2,2,2,1,1,4,4,5,4,3,1,1,4,3,2,3,2,3,0,4,He is the youngest of the faIHlle (He is not yet 1 year old). He was collected unweaned. He came out very quickly and we live in the woods.
112,2021-03-07 10:48:04 UTC,M,[1-2],NR,2,SH,U,0,1,4,3,1,4,4,4,4,4,2,1,4,1,1,3,3,DK,0,0,
1120,2021-03-06 22:57:44 UTC,F,[2-10],EUR,2,SH,PU,3,2,4,4,3,5,5,5,4,2,4,1,3,3,2,4,4,3,0,1,
1121,2021-03-06 23:07:00 UTC,M,>10,EUR,2,SH,R,3,2,4,4,3,4,3,3,3,3,4,1,2,1,3,3,3,3,0,0,
1122,2021-03-06 23:33:20 UTC,M,[2-10],CHA,2,IH,R,0,2,2,4,1,4,4,3,5,5,3,3,3,1,3,4,3,3,0,0,
1123,2021-03-06 23:35:23 UTC,F,[1-2],Other,2,IH,U,0,3,2,4,2,5,3,3,5,5,2,1,1,2,3,3,3,3,0,0,
1124,2021-03-06 23:36:32 UTC,F,<1,NR,2,IH,R,0,2,1,1,1,5,2,4,4,5,2,4,3,2,4,4,4,3,0,0,
1125,2021-03-06 23:40:49 UTC,F,[2-10],EUR,5,AWB,U,2,2,2,4,3,5,5,5,3,4,4,3,4,1,1,4,3,3,0,3,"doesn't like it when I lock myself in a room, the doors have to stay open all the time"
1126,2021-03-06 23:43:43 UTC,F,[2-10],NR,4,IH,R,0,1,1,3,2,5,4,4,5,3,3,3,4,3,3,3,1,3,0,1,
1127,2021-03-06 23:57:12 UTC,F,<1,EUR,1,IH,PU,0,2,3,5,1,4,5,3,4,4,5,1,3,3,4,4,3,3,0,0,
1128,2021-03-07 00:02:22 UTC,M,<1,NR,1,IH,R,2,2,4,3,4,4,2,4,4,3,4,2,3,1,4,4,4,3,0,4,
1129,2021-03-07 00:02:49 UTC,M,[1-2],BRI,2,IH,R,0,1,3,1,1,1,1,1,1,2,3,2,2,2,2,1,1,3,0,0,
113,2021-03-07 11:08:22 UTC,F,<1,NR,1,ANB,PU,0,2,2,4,2,4,4,4,5,4,4,1,4,1,1,3,4,DK,0,0,I had her at 1 month so immediately her mother. Currently 7 months and continues to suck on my neck. She can't live without me and I without her. We are fused
1130,2021-03-07 00:09:36 UTC,F,[1-2],EUR,2,AWB,PU,0,2,2,4,2,4,4,4,5,4,2,1,2,2,3,3,2,3,0,0,
1131,2021-03-07 00:11:39 UTC,M,[1-2],EUR,2,AWB,PU,0,2,5,4,4,4,5,3,4,3,2,1,3,2,2,3,5,3,0,0,
1132,2021-03-07 00:12:54 UTC,F,[2-10],EUR,1,IH,R,0,2,4,2,2,4,4,5,5,5,3,2,5,5,5,4,4,3,0,0,"We had 2 cats of the same litter, our M was crushed in front of our house, 2 years ago now and deIH, since her sister is no longer allowed to go out, and when she runs away.... I saw him very badly, afraid that she would be crushed in turn....."
1133,2021-03-07 00:29:03 UTC,M,[2-10],BRI,5+,IH,R,2,1,4,5,1,5,3,3,5,4,2,1,2,1,2,4,2,3,0,0,Cats have access to an outdoor enclosure.
1134,2021-03-07 01:42:17 UTC,M,[1-2],DK,1,AWB,U,1,1,4,3,4,4,4,3,4,3,3,4,3,3,3,3,3,3,0,0,He jumps on me for no apparent reason
1135,2021-03-07 03:59:53 UTC,M,[2-10],DK,2,IH,PU,0,2,2,1,3,3,2,2,3,3,3,2,1,1,1,2,1,3,0,1,Attacks my Other cat if I give it attention and always listen and on guard during its playing time again attacks my Other cat if it presents during this time and is very easily distracted if hears noise
1136,2021-03-07 05:01:45 UTC,M,[1-2],Other,1,IH,PU,0,2,1,3,3,5,1,4,5,5,1,2,2,3,2,5,5,3,0,1,
1137,2021-03-07 06:55:55 UTC,F,[2-10],EUR,1,IH,R,2,2,5,4,5,4,4,4,5,2,3,1,1,1,3,3,3,3,0,2,
1138,2021-03-07 07:03:28 UTC,F,<1,EUR,1,AWB,PU,0,1,2,4,3,5,5,5,5,4,2,4,3,3,4,2,4,3,0,0,
