Number,Timestamp,Gender,Age,Breed,Household Cats,Housing,Area,Ext,Obs,Shy,Calm,Scared,Intelligent,Vigilent,Persistent,Affectionate,Friendly,Solitary,Rough,Dominant,Aggressive,Impulsive,Predictable,Distracted,Abundance,PredBirds,PredMamm,Additional Comments
2380,2021-03-14 22:24:50 UTC,M,<1,BIR,1,SH,R,0,2,2,3,1,4,4,3,4,3,1,1,1,1,1,1,4,2,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 04 MINUTES 53 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
2591,2021-02-18 09:41:05 UTC,F,[2-10],BIR,1,AWB,PU,1,2,2,4,3,5,4,5,5,4,1,1,1,1,4,3,5,1,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 04 MINUTES 24 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
1902,2021-02-18 23:55:33 UTC,M,[2-10],BIR,1,SH,PU,0,2,1,2,2,5,5,5,4,5,2,1,4,2,3,4,3,2,0,1,
1900,2021-02-18 20:55:43 UTC,M,[2-10],BIR,3,SH,R,2,2,3,4,2,3,4,4,5,4,1,1,4,2,3,4,4,2,0,0,
868,2021-02-11 21:19:57 UTC,F,[1-2],BIR,2,IH,R,1,2,1,4,1,4,4,4,3,4,1,1,1,1,1,4,3,3,0,0,
1774,2021-02-11 21:06:40 UTC,F,[1-2],BIR,3,AWB,PU,2,2,2,2,2,5,5,5,2,3,2,4,3,2,4,4,1,2,0,0,
586,2021-02-19 00:56:46 UTC,F,[1-2],BIR,5+,SH,U,2,2,1,3,1,4,4,5,4,5,2,4,2,2,4,3,2,3,1,1,
1919,2021-02-19 20:13:35 UTC,F,[1-2],BIR,2,IH,R,2,3,1,3,1,4,3,4,4,4,1,1,1,1,1,3,3,2,0,0,
2582,2021-02-18 07:55:45 UTC,M,[2-10],BIR,3,AWB,U,0,2,1,4,1,5,3,4,5,5,2,1,3,1,2,5,5,1,0,0,
1916,2021-02-19 14:23:31 UTC,F,<1,BIR,4,SH,PU,0,2,1,5,1,4,2,4,5,5,1,1,1,1,1,4,3,2,0,0,
909,2021-02-15 20:33:06 UTC,M,[1-2],BIR,1,AWB,PU,0,3,2,5,5,4,3,4,5,3,1,1,3,1,2,3,5,3,0,0,
870,2021-02-11 21:28:09 UTC,M,[1-2],BIR,1,SH,PU,0,2,3,4,3,4,4,4,4,4,3,2,3,3,3,4,5,3,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 02 MINUTES 26 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
2775,2021-03-07 21:17:23 UTC,F,[1-2],BIR,1,AWB,R,1,2,1,2,3,3,2,2,4,5,3,1,3,3,1,4,4,1,0,0,
2526,2021-02-15 16:30:52 UTC,M,[2-10],BIR,5+,IH,R,0,2,4,3,2,5,3,5,4,3,2,2,3,1,1,4,2,1,0,0,
1903,2021-02-18 23:58:28 UTC,F,[2-10],BIR,1,AWB,U,1,1,1,5,1,4,5,3,4,5,2,1,4,1,1,5,5,2,0,0,
26,2021-02-15 21:54:03 UTC,F,[2-10],BIR,2,AWB,U,0,2,3,4,3,5,5,3,5,2,1,1,4,4,1,4,4,DK,0,0,
1674,2021-03-06 22:16:35 UTC,F,[2-10],BIR,2,AWB,PU,2,3,5,4,4,5,4,4,5,1,1,1,5,4,2,4,3,2,1,1,
874,2021-02-11 22:44:50 UTC,F,>10,BIR,2,SH,R,1,2,4,4,4,5,3,3,5,4,1,1,1,4,2,5,5,3,0,1,
1844,2021-02-16 13:38:32 UTC,F,[2-10],BIR,3,IH,R,0,3,4,5,4,3,4,3,5,4,3,1,2,4,4,5,2,2,0,0,
550,2021-02-12 09:54:54 UTC,F,[2-10],BIR,1,SH,U,1,2,4,4,5,5,4,4,5,2,3,2,2,4,1,3,3,3,1,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 03 MINUTES 00 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
2597,2021-02-18 11:46:10 UTC,F,[2-10],BIR,2,ANB,U,0,1,4,5,4,4,5,4,5,2,4,1,2,4,1,5,3,1,0,0,
900,2021-02-15 16:56:13 UTC,M,>10,BIR,2,AWB,U,1,3,4,5,2,2,4,4,5,5,4,1,1,1,3,5,4,3,0,0,
1644,2021-02-16 18:37:50 UTC,M,>10,BIR,1,IH,R,2,2,3,4,2,4,4,4,4,2,3,3,3,4,3,3,3,2,1,2,
2493,2021-02-12 08:19:11 UTC,F,[2-10],BIR,1,SH,PU,1,3,1,3,3,5,5,4,5,5,1,3,5,1,4,4,4,1,0,0,
905,2021-02-15 18:48:54 UTC,F,[2-10],BIR,3,IH,R,0,3,4,4,4,5,5,5,5,5,1,4,5,2,4,5,3,3,0,0,
1101,2021-03-06 20:57:38 UTC,F,[1-2],BIR,2,IH,R,1,3,4,3,3,4,5,5,5,3,2,2,2,1,3,4,5,3,0,0,This is a cat that only goes out under surveillance for 1 hour maximum per day so no possibility to hunt but very curious that she hears a bird for example
46,2021-02-18 11:22:11 UTC,F,[1-2],BIR,5+,IH,PU,0,2,3,4,1,4,4,4,2,2,2,1,2,2,2,4,3,DK,0,0,
57,2021-02-19 09:20:41 UTC,M,[2-10],BIR,1,AWB,U,0,3,1,1,2,4,3,3,4,4,2,2,3,2,3,4,4,DK,0,0,
9,2021-02-11 21:26:36 UTC,F,[1-2],BIR,1,ANB,U,0,2,2,2,1,4,3,4,5,4,1,1,3,2,2,4,3,DK,0,0,
2444,2021-02-19 11:00:41 UTC,F,[2-10],BIR,4,SH,R,0,2,2,5,2,4,3,1,4,3,4,1,1,1,1,3,2,1,1,1,
2567,2021-02-17 21:59:49 UTC,M,<1,BIR,1,AWB,PU,1,2,1,4,3,4,3,4,4,5,2,5,2,3,3,4,4,1,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 04 MINUTES 26 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
878,2021-02-12 09:07:12 UTC,M,[2-10],BIR,1,IH,R,0,2,2,5,1,5,4,4,5,3,5,1,1,4,1,5,4,3,0,0,
1783,2021-02-11 22:21:43 UTC,F,<1,BIR,1,ANB,U,0,2,3,4,3,5,5,5,5,3,3,2,3,3,2,2,3,2,0,0,
48,2021-02-18 13:19:13 UTC,F,[2-10],BIR,1,ANB,U,0,2,4,4,5,5,2,2,5,4,2,1,1,3,5,1,5,DK,0,0,
1802,2021-02-13 15:06:41 UTC,M,[2-10],BIR,2,SH,PU,1,2,2,5,3,5,4,5,5,5,1,1,2,2,2,4,4,2,0,1,
934,2021-02-16 12:44:12 UTC,F,[2-10],BIR,1,SH,U,0,2,2,1,3,4,4,4,4,4,4,1,1,1,1,3,3,3,0,0,
2531,2021-02-15 20:01:02 UTC,M,[2-10],BIR,1,AWB,PU,0,3,2,4,1,5,1,3,5,4,1,1,1,4,4,4,4,1,0,0,
1825,2021-02-15 19:48:52 UTC,F,[1-2],BIR,1,AWB,U,1,3,1,4,2,3,2,2,5,5,1,1,1,1,1,4,3,2,0,0,
2310,2021-03-13 21:42:57 UTC,M,[1-2],BIR,2,SH,U,0,2,2,5,1,5,4,3,5,2,1,1,1,1,1,1,1,2,0,0,
323,2021-03-07 06:58:19 UTC,F,[2-10],BIR,5+,IH,R,2,1,5,4,2,2,5,3,2,2,4,1,1,2,1,4,4,3,3,3,
1773,2021-02-11 20:40:18 UTC,M,[2-10],BIR,2,IH,PU,1,2,4,5,2,5,5,5,5,3,2,1,1,1,1,3,2,2,0,1,
872,2021-02-11 21:38:29 UTC,F,[2-10],BIR,2,SH,R,0,3,2,2,1,3,2,3,2,2,2,1,2,2,2,2,2,3,0,0,
1826,2021-02-15 19:59:54 UTC,F,[2-10],BIR,2,AWB,U,2,2,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,0,0,
1820,2021-02-15 19:05:41 UTC,F,[2-10],BIR,1,IH,PU,0,3,4,5,3,5,3,5,5,2,1,1,3,3,1,5,3,2,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 06 MINUTES 00 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
898,2021-02-15 16:19:15 UTC,F,[2-10],BIR,1,IH,R,0,2,3,5,4,5,5,5,5,4,1,1,1,4,3,5,3,3,0,0,
1787,2021-02-12 07:22:39 UTC,F,[2-10],BIR,3,SH,U,1,2,1,5,1,5,4,4,4,4,1,3,1,1,1,4,1,2,0,0,
1776,2021-02-11 21:19:09 UTC,M,<1,BIR,1,SH,PU,0,2,1,4,3,4,4,4,4,5,1,1,1,1,1,4,4,2,0,0,
871,2021-02-11 21:29:25 UTC,F,[2-10],BIR,1,IH,R,0,2,2,4,4,4,4,4,5,5,4,1,2,3,3,3,4,3,0,0,
1361,2021-03-13 16:54:28 UTC,F,[2-10],BIR,2,AWB,U,1,3,1,5,5,3,5,3,2,5,5,3,5,5,2,5,3,3,0,0,
1797,2021-02-12 21:55:33 UTC,M,<1,BIR,1,SH,PU,0,2,2,4,2,4,4,4,5,5,2,1,2,2,2,3,3,2,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 06 MINUTES 01 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
875,2021-02-11 23:25:16 UTC,F,[2-10],BIR,1,IH,R,2,3,1,3,2,5,2,4,5,5,1,1,1,1,3,5,4,3,0,1,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 02 MINUTES 25 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
978,2021-02-18 05:59:17 UTC,M,[2-10],BIR,3,IH,R,0,2,2,2,1,4,4,4,5,4,4,4,4,3,3,4,3,3,0,0,
947,2021-02-16 18:33:34 UTC,F,[2-10],BIR,4,SH,R,0,3,1,3,2,4,4,4,4,3,4,1,4,3,2,4,2,3,0,0,
2512,2021-02-13 13:50:04 UTC,F,[2-10],BIR,1,SH,R,0,2,3,1,2,3,3,3,3,3,2,1,2,2,2,2,2,1,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 04 MINUTES 34 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
1769,2021-02-11 18:08:31 UTC,F,[2-10],BIR,4,SH,R,1,3,1,4,2,5,5,5,5,4,2,1,1,1,1,3,2,2,0,0,
3,2021-02-17 22:02:26 UTC,F,[2-10],BIR,2,ANB,R,0,2,1,3,3,5,4,4,5,5,2,1,4,4,3,4,2,DK,1,0,
2484,2021-02-11 21:23:35 UTC,M,[2-10],BIR,2,IH,R,1,2,1,3,2,3,3,4,3,2,3,3,4,4,4,2,3,1,0,0,
2501,2021-02-12 18:00:34 UTC,M,<1,BIR,2,AWB,PU,0,2,1,2,1,4,4,4,4,4,1,1,4,1,4,4,2,1,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 04 MINUTES 35 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
1001,2021-02-18 18:00:50 UTC,F,[1-2],BIR,2,IH,R,1,2,1,4,1,5,3,4,4,2,1,2,4,1,4,3,3,3,0,0,
1815,2021-02-15 17:00:22 UTC,F,<1,BIR,2,IH,R,0,2,4,5,3,5,3,5,5,4,2,1,3,1,2,4,4,2,0,0,
2530,2021-02-15 19:34:38 UTC,M,[2-10],BIR,3,AWB,PU,1,3,1,5,2,5,2,5,5,5,1,1,4,2,1,5,3,1,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 04 MINUTES 32 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
2497,2021-02-12 09:31:30 UTC,M,[2-10],BIR,1,AWB,U,1,2,1,4,3,5,5,5,5,5,1,1,3,3,3,3,3,1,0,0,
352,2021-03-13 15:21:31 UTC,F,[2-10],BIR,5,SH,R,1,1,3,2,4,2,3,3,4,3,4,1,4,3,3,3,3,3,3,1,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 03 MINUTES 17 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
1784,2021-02-12 00:37:03 UTC,F,<1,BIR,2,IH,R,0,3,4,4,4,5,5,5,5,5,1,1,1,1,3,5,5,2,0,0,
922,2021-02-16 09:45:24 UTC,F,<1,BIR,3,IH,R,0,2,1,4,2,5,5,5,5,4,2,1,3,1,2,4,2,3,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 02 MINUTES 18 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
1654,2021-02-18 17:52:33 UTC,F,[2-10],BIR,5+,SH,R,0,3,2,3,2,3,2,3,4,4,2,2,5,4,3,3,3,2,1,0,
938,2021-02-16 16:56:42 UTC,M,<1,BIR,1,ANB,U,0,3,3,2,3,4,5,4,4,4,1,1,2,3,3,3,5,3,0,0,
2694,2021-03-06 20:27:56 UTC,F,[2-10],BIR,4,SH,PU,1,3,2,2,1,1,1,2,3,2,2,1,1,2,1,2,2,1,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 04 MINUTES 16 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
33,2021-02-17 00:06:22 UTC,F,[1-2],BIR,2,ANB,R,0,2,4,4,1,1,1,1,1,4,1,2,1,1,4,4,3,DK,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 03 MINUTES 20 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
1349,2021-03-13 16:15:16 UTC,F,<1,BIR,2,IH,R,0,3,1,4,2,4,3,4,5,5,2,1,2,1,3,2,4,3,0,0,
2829,2021-03-13 13:22:22 UTC,F,[2-10],BIR,2,ANB,R,0,1,4,5,5,4,4,3,4,4,5,3,3,4,3,3,3,1,0,0,
867,2021-02-11 21:18:53 UTC,M,[1-2],BIR,2,IH,R,1,2,4,4,3,4,4,4,4,4,1,1,2,1,1,4,3,3,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 02 MINUTES 27 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
1114,2021-03-06 22:32:49 UTC,M,[1-2],BIR,1,IH,R,1,3,4,5,1,5,4,4,5,5,1,1,1,1,1,3,3,3,0,0,
1770,2021-02-11 18:16:00 UTC,M,[1-2],BIR,2,IH,PU,0,2,2,4,2,4,4,4,4,4,1,2,2,2,2,3,4,2,0,0,
2534,2021-02-15 20:40:45 UTC,M,[1-2],BIR,1,ANB,U,0,2,1,5,2,4,4,4,4,5,3,1,1,2,1,4,4,1,0,0,
1010,2021-02-18 23:05:07 UTC,M,[2-10],BIR,2,SH,R,2,2,4,4,4,5,4,5,5,5,2,1,3,5,4,5,4,3,0,1,A pot of glue
1777,2021-02-11 21:22:24 UTC,M,<1,BIR,2,SH,PU,0,2,2,3,2,5,2,5,4,5,1,2,1,1,1,5,4,2,0,0,
3093,2021-03-14 22:19:17 UTC,M,[2-10],BIR,2,AWB,U,0,2,5,5,1,5,1,3,5,5,5,1,1,1,1,5,3,1,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 03 MINUTES 25 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
546,2021-02-11 22:10:50 UTC,F,[2-10],BIR,5,SH,U,1,3,3,3,3,3,3,4,5,5,4,3,3,3,3,3,1,3,1,1,
2959,2021-03-13 17:28:47 UTC,M,<1,BIR,1,SH,U,0,3,1,4,4,4,4,3,5,4,2,1,2,2,2,3,5,1,0,0,
545,2021-02-11 22:06:36 UTC,M,[2-10],BIR,2,IH,R,2,2,2,4,2,5,4,5,4,2,2,2,4,2,2,2,2,3,1,0,
1316,2021-03-13 15:05:30 UTC,F,>10,BIR,2,SH,R,0,3,3,4,2,4,5,5,5,4,4,1,5,5,5,5,5,3,0,0,
1884,2021-02-18 09:23:28 UTC,F,<1,BIR,1,SH,R,0,2,3,4,3,4,4,5,4,4,3,3,3,3,3,4,4,2,0,0,
2508,2021-02-13 12:44:04 UTC,M,[2-10],BIR,1,SH,PU,0,2,2,4,5,3,4,3,4,4,2,1,1,3,2,3,3,1,0,0,
547,2021-02-11 23:36:10 UTC,M,[1-2],BIR,4,IH,R,1,3,1,1,1,5,4,5,4,5,3,2,1,1,1,3,2,3,1,1,
1,2021-02-09 16:36:39 UTC,F,<1,BIR,3,ANB,U,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,DK,4,4,
910,2021-02-15 21:04:48 UTC,M,<1,BIR,1,IH,PU,2,3,2,4,2,3,3,3,2,4,4,1,1,1,2,4,2,3,0,1,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 02 MINUTES 19 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
601,2021-03-06 17:46:36 UTC,M,[2-10],BIR,2,IH,R,2,2,3,5,2,5,3,3,5,1,3,3,4,4,3,3,3,3,1,4,
1926,2021-03-06 14:37:52 UTC,M,[2-10],BIR,3,SH,R,0,3,2,5,2,5,5,5,4,2,5,1,1,1,1,3,3,2,0,0,
968,2021-02-17 21:43:29 UTC,M,<1,BIR,1,SH,PU,2,3,1,4,1,4,4,4,4,3,3,1,4,3,3,4,3,3,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 02 MINUTES 10 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
1897,2021-02-18 19:41:10 UTC,M,<1,BIR,2,SH,U,0,2,1,2,1,4,2,4,5,5,2,1,2,2,2,5,4,2,0,0,
1813,2021-02-15 16:12:53 UTC,M,<1,BIR,1,IH,R,0,2,1,4,3,5,4,4,5,5,1,1,1,3,2,3,4,2,0,0,
288,2021-02-10 18:40:08 UTC,M,[2-10],BIR,1,IH,R,3,2,3,2,1,5,4,5,4,3,2,2,3,4,4,4,4,3,4,4,
1771,2021-02-11 19:19:17 UTC,F,<1,BIR,1,AWB,U,0,2,1,4,3,5,5,5,5,5,3,1,3,3,2,4,3,2,0,0,
1790,2021-02-12 08:47:02 UTC,F,<1,BIR,3,IH,R,1,3,1,5,1,3,3,3,4,4,5,1,1,1,2,3,3,2,0,0,
8,2021-02-11 19:13:44 UTC,M,[2-10],BIR,1,ANB,U,0,2,2,5,1,3,4,5,5,1,4,1,1,1,3,5,2,DK,0,0,
913,2021-02-15 22:19:55 UTC,M,[1-2],BIR,1,IH,R,0,3,4,4,4,4,4,4,2,4,2,1,1,1,3,4,2,3,0,0,
1755,2021-03-14 17:15:16 UTC,M,[2-10],BIR,1,AWB,U,1,2,2,5,4,4,4,3,4,2,3,1,1,3,1,5,5,2,1,0,
1671,2021-03-06 21:08:13 UTC,F,[2-10],BIR,1,IH,R,2,3,4,5,1,4,3,4,5,2,4,5,5,2,3,3,4,2,1,3,
582,2021-02-18 13:14:47 UTC,F,[2-10],BIR,1,IH,R,1,2,2,3,2,5,4,5,5,5,3,3,3,3,4,4,3,3,1,2,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 02 MINUTES 58 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
55,2021-02-18 23:23:10 UTC,F,<1,BIR,2,ANB,R,0,3,1,5,1,5,4,5,5,5,1,1,3,1,3,4,1,DK,0,0,
2434,2021-03-15 10:52:42 UTC,F,[1-2],BIR,3,AWB,U,2,2,2,4,5,4,4,4,5,4,5,4,3,4,3,4,3,1,3,4,
2566,2021-02-17 21:59:01 UTC,M,<1,BIR,1,ANB,U,0,1,1,4,1,4,2,2,4,5,2,2,2,1,2,5,4,1,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 04 MINUTES 26 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
24,2021-02-15 20:16:04 UTC,M,[2-10],BIR,2,SH,R,0,2,2,4,3,5,1,3,4,4,1,1,4,3,2,4,4,DK,0,0,
2482,2021-02-11 20:33:56 UTC,M,[2-10],BIR,2,SH,U,1,2,1,4,2,4,4,4,2,4,4,1,4,2,2,4,2,1,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 04 MINUTES 38 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
1789,2021-02-12 08:45:42 UTC,M,<1,BIR,3,IH,R,1,3,1,5,1,4,4,3,5,5,1,1,1,1,1,3,1,2,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 06 MINUTES 03 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
3140,2021-02-13 00:00:00 UTC,F,<1,BIR,1,SH,U,1,2,3,4,3,3,3,3,4,4,3,2,2,2,2,4,4,1,0,0,
2485,2021-02-11 21:32:03 UTC,M,[2-10],BIR,2,AWB,PU,1,2,1,4,5,5,5,5,5,5,4,1,2,1,2,4,5,1,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 04 MINUTES 38 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
2372,2021-03-14 14:42:25 UTC,F,[2-10],BIR,3,SH,PU,1,2,1,4,1,4,3,4,5,5,1,1,4,1,2,3,3,2,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 04 MINUTES 53 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
956,2021-02-16 23:44:25 UTC,F,[1-2],BIR,4,SH,PU,2,2,3,3,2,4,4,4,5,4,2,2,4,3,3,4,3,3,0,0,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  19 HOURS 02 MINUTES 12 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
877,2021-02-12 06:38:45 UTC,F,[2-10],BIR,2,IH,R,1,2,4,4,3,4,3,4,4,4,2,1,1,1,1,3,4,3,0,0,
1816,2021-02-15 18:39:02 UTC,F,<1,BIR,1,IH,PU,0,1,5,4,4,5,5,3,5,4,4,1,1,1,1,4,3,2,0,0,
25,2021-02-15 21:41:59 UTC,F,<1,BIR,3,IH,U,0,3,1,3,3,3,3,3,3,3,2,2,2,1,2,3,2,DK,0,0,
