Number,Timestamp,Gender,Age,Breed,Household Cats,Housing,Area,Ext,Obs,Shy,Calm,Scared,Intelligent,Vigilent,Persistent,Affectionate,Friendly,Solitary,Rough,Dominant,Aggressive,Impulsive,Predictable,Distracted,Abundance,PredBirds,PredMamm,Additional Comments
2310,1319,2,2,1,1,3,2,0,2,2,5,1,5,4,3,5,2,1,1,1,1,1,1,1,1,0,0,291
323,703,1,3,1,5,2,1,2,1,5,4,2,2,5,3,2,2,4,1,1,2,1,4,4,2,3,3,291
1773,75,2,3,1,1,2,0,1,2,4,5,2,5,5,5,5,3,2,1,1,1,1,3,2,1,0,1,291
872,92,1,3,1,1,3,1,0,3,2,2,1,3,2,3,2,2,2,1,2,2,2,2,2,2,0,0,291
1826,194,1,3,1,1,1,2,2,2,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,291
1820,189,1,3,1,0,2,0,0,3,4,5,3,5,3,5,5,2,1,1,3,3,1,5,3,1,0,0,226
898,174,1,3,1,0,2,1,0,2,3,5,4,5,5,5,5,4,1,1,1,4,3,5,3,2,0,0,291
1787,108,1,3,1,2,3,2,1,2,1,5,1,5,4,4,4,4,1,3,1,1,1,4,1,1,0,0,291
1776,80,2,0,1,0,3,0,0,2,1,4,3,4,4,4,4,5,1,1,1,1,1,4,4,1,0,0,291
871,89,1,3,1,0,2,1,0,2,2,4,4,4,4,4,5,5,4,1,2,3,3,3,4,2,0,0,291
1361,1154,1,3,1,1,1,2,1,3,1,5,5,3,5,3,2,5,5,3,5,5,2,5,3,2,0,0,291
1797,124,2,0,1,0,3,0,0,2,2,4,2,4,4,4,5,5,2,1,2,2,2,3,3,1,0,0,227
875,100,1,3,1,0,2,1,2,3,1,3,2,5,2,4,5,5,1,1,1,1,3,5,4,2,0,1,61
978,334,2,3,1,2,2,1,0,2,2,2,1,4,4,4,5,4,4,4,4,3,3,4,3,2,0,0,291
947,256,1,3,1,3,3,1,0,3,1,3,2,4,4,4,4,3,4,1,4,3,2,4,2,2,0,0,291
2512,150,1,3,1,0,3,1,0,2,3,1,2,3,3,3,3,3,2,1,2,2,2,2,2,0,0,0,158
1769,67,1,3,1,3,3,1,1,3,1,4,2,5,5,5,5,4,2,1,1,1,1,3,2,1,0,0,291
3,319,1,3,1,1,0,1,0,2,1,3,3,5,4,4,5,5,2,1,4,4,3,4,2,3,1,0,291
2484,84,2,3,1,1,2,1,1,2,1,3,2,3,3,4,3,2,3,3,4,4,4,2,3,0,0,0,291
2501,121,2,0,1,1,1,0,0,2,1,2,1,4,4,4,4,4,1,1,4,1,4,4,2,0,0,0,159
1001,401,1,2,1,1,2,1,1,2,1,4,1,5,3,4,4,2,1,2,4,1,4,3,3,2,0,0,291
1815,179,1,0,1,1,2,1,0,2,4,5,3,5,3,5,5,4,2,1,3,1,2,4,4,1,0,0,291
2530,191,2,3,1,2,1,0,1,3,1,5,2,5,2,5,5,5,1,1,4,2,1,5,3,0,0,0,156
2497,116,2,3,1,0,1,2,1,2,1,4,3,5,5,5,5,5,1,1,3,3,3,3,3,0,0,0,291
352,1055,1,3,1,4,3,1,1,1,3,2,4,2,3,3,4,3,4,1,4,3,3,3,3,2,3,1,96
1784,105,1,0,1,1,2,1,0,3,4,4,4,5,5,5,5,5,1,1,1,1,3,5,5,1,0,0,291
922,222,1,0,1,2,2,1,0,2,1,4,2,5,5,5,5,4,2,1,3,1,2,4,2,2,0,0,54
1654,399,1,3,1,5,3,1,0,3,2,3,2,3,2,3,4,4,2,2,5,4,3,3,3,1,1,0,291
938,244,2,0,1,0,0,2,0,3,3,2,3,4,5,4,4,4,1,1,2,3,3,3,5,2,0,0,291
2694,638,1,3,1,3,3,0,1,3,2,2,1,1,1,2,3,2,2,1,1,2,1,2,2,0,0,0,144
33,274,1,2,1,1,0,1,0,2,4,4,1,1,1,1,1,4,1,2,1,1,4,4,3,3,0,0,97
1349,1117,1,0,1,1,2,1,0,3,1,4,2,4,3,4,5,5,2,1,2,1,3,2,4,2,0,0,291
2829,906,1,3,1,1,0,1,0,1,4,5,5,4,4,3,4,4,5,3,3,4,3,3,3,0,0,0,291
867,79,2,2,1,1,2,1,1,2,4,4,3,4,4,4,4,4,1,1,2,1,1,4,3,2,0,0,63
1114,669,2,2,1,0,2,1,1,3,4,5,1,5,4,4,5,5,1,1,1,1,1,3,3,2,0,0,291
1770,68,2,2,1,1,2,0,0,2,2,4,2,4,4,4,4,4,1,2,2,2,2,3,4,1,0,0,291
2534,198,2,2,1,0,0,2,0,2,1,5,2,4,4,4,4,5,3,1,1,2,1,4,4,0,0,0,291
1010,417,2,3,1,1,3,1,2,2,4,4,4,5,4,5,5,5,2,1,3,5,4,5,4,2,0,1,0
1777,82,2,0,1,1,3,0,0,2,2,3,2,5,2,5,4,5,1,2,1,1,1,5,4,1,0,0,291
3093,1486,2,3,1,1,1,2,0,2,5,5,1,5,1,3,5,5,5,1,1,1,1,5,3,0,0,0,102
546,95,1,3,1,4,3,2,1,3,3,3,3,3,3,4,5,5,4,3,3,3,3,3,1,2,1,1,291
2959,1180,2,0,1,0,3,2,0,3,1,4,4,4,4,3,5,4,2,1,2,2,2,3,5,0,0,0,291
545,94,2,3,1,1,2,1,2,2,2,4,2,5,4,5,4,2,2,2,4,2,2,2,2,2,1,0,291
1316,1029,1,1,1,1,3,1,0,3,3,4,2,4,5,5,5,4,4,1,5,5,5,5,5,2,0,0,291
1884,360,1,0,1,0,3,1,0,2,3,4,3,4,4,5,4,4,3,3,3,3,3,4,4,1,0,0,291
2508,143,2,3,1,0,3,0,0,2,2,4,5,3,4,3,4,4,2,1,1,3,2,3,3,0,0,0,291
547,101,2,2,1,3,2,1,1,3,1,1,1,5,4,5,4,5,3,2,1,1,1,3,2,2,1,1,291
1,0,1,0,1,2,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,291
910,201,2,0,1,0,2,0,2,3,2,4,2,3,3,3,2,4,4,1,1,1,2,4,2,2,0,1,55
601,550,2,3,1,1,2,1,2,2,3,5,2,5,3,3,5,1,3,3,4,4,3,3,3,2,1,4,291
1926,460,2,3,1,2,3,1,0,3,2,5,2,5,5,5,4,2,5,1,1,1,1,3,3,1,0,0,291
968,306,2,0,1,0,3,0,2,3,1,4,1,4,4,4,4,3,3,1,4,3,3,4,3,2,0,0,46
1897,406,2,0,1,1,3,2,0,2,1,2,1,4,2,4,5,5,2,1,2,2,2,5,4,1,0,0,291
1813,173,2,0,1,0,2,1,0,2,1,4,3,5,4,4,5,5,1,1,1,3,2,3,4,1,0,0,291
288,34,2,3,1,0,2,1,3,2,3,2,1,5,4,5,4,3,2,2,3,4,4,4,4,2,4,4,291
1771,71,1,0,1,0,1,2,0,2,1,4,3,5,5,5,5,5,3,1,3,3,2,4,3,1,0,0,291
1790,112,1,0,1,2,2,1,1,3,1,5,1,3,3,3,4,4,5,1,1,1,2,3,3,1,0,0,291
8,70,2,3,1,0,0,2,0,2,2,5,1,3,4,5,5,1,4,1,1,1,3,5,2,3,0,0,291
913,206,2,2,1,0,2,1,0,3,4,4,4,4,4,4,2,4,2,1,1,1,3,4,2,2,0,0,291
1755,1465,2,3,1,0,1,2,1,2,2,5,4,4,4,3,4,2,3,1,1,3,1,5,5,1,1,0,291
1671,652,1,3,1,0,2,1,2,3,4,5,1,4,3,4,5,2,4,5,5,2,3,3,4,1,1,3,291
582,388,1,3,1,0,2,1,1,2,2,3,2,5,4,5,5,5,3,3,3,3,4,4,3,2,1,2,86
55,419,1,0,1,1,0,1,0,3,1,5,1,5,4,5,5,5,1,1,3,1,3,4,1,3,0,0,291
2434,1510,1,2,1,2,1,2,2,2,2,4,5,4,4,4,5,4,5,4,3,4,3,4,3,0,3,4,291
2566,315,2,0,1,0,0,2,0,1,1,4,1,4,2,2,4,5,2,2,2,1,2,5,4,0,0,0,151
24,196,2,3,1,1,3,1,0,2,2,4,3,5,1,3,4,4,1,1,4,3,2,4,4,3,0,0,291
2482,74,2,3,1,1,3,2,1,2,1,4,2,4,4,4,2,4,4,1,4,2,2,4,2,0,0,0,160
1789,111,2,0,1,2,2,1,1,3,1,5,1,4,4,3,5,5,1,1,1,1,1,3,1,1,0,0,229
3140,126,1,0,1,0,3,2,1,2,3,4,3,3,3,3,4,4,3,2,2,2,2,4,4,0,0,0,291
2485,90,2,3,1,1,1,0,1,2,1,4,5,5,5,5,5,5,4,1,2,1,2,4,5,0,0,0,160
2372,1456,1,3,1,2,3,0,1,2,1,4,1,4,3,4,5,5,1,1,4,1,2,3,3,1,0,0,171
956,273,1,2,1,3,3,0,2,2,3,3,2,4,4,4,5,4,2,2,4,3,3,4,3,2,0,0,48
877,106,1,3,1,1,2,1,1,2,4,4,3,4,3,4,4,4,2,1,1,1,1,3,4,2,0,0,291
1816,185,1,0,1,0,2,0,0,1,5,4,4,5,5,3,5,4,4,1,1,1,1,4,3,1,0,0,291
25,203,1,0,1,2,2,2,0,3,1,3,3,3,3,3,3,3,2,2,2,1,2,3,2,3,0,0,291
733,1137,2,3,1,1,2,1,3,1,4,2,2,4,4,2,3,1,2,3,3,3,4,3,2,2,1,4,291
987,354,2,3,1,0,2,0,1,2,3,4,3,4,3,3,5,5,4,1,1,3,3,4,4,2,0,0,291
1870,318,2,3,1,0,3,0,1,2,2,3,2,4,3,4,4,4,3,1,2,2,2,3,4,1,0,0,222
227,1455,2,3,1,1,2,1,0,3,4,4,2,5,4,3,5,4,2,1,4,1,3,4,4,3,0,0,184
1778,83,2,1,1,5,3,1,0,3,4,4,4,4,4,1,4,3,4,1,1,1,1,4,1,1,0,0,291
1812,172,1,3,1,0,3,0,0,3,4,3,5,5,5,5,5,3,4,1,3,4,4,5,3,1,0,1,291
422,653,1,0,1,3,2,0,2,3,1,3,1,3,3,3,4,3,1,1,1,1,2,3,1,2,2,2,291
1002,403,1,1,1,1,2,1,1,3,4,4,4,4,4,4,4,4,1,1,1,1,1,4,1,2,0,0,291
2542,219,1,1,1,0,1,0,1,3,2,4,2,4,4,3,4,3,3,1,3,3,1,4,1,0,0,0,155
1823,192,1,2,1,1,1,0,0,2,1,4,1,4,3,3,4,4,2,1,1,1,1,3,2,1,0,0,291
911,202,1,2,1,0,1,1,1,2,1,2,3,5,5,5,4,4,4,1,4,3,2,4,5,2,0,0,55
865,73,2,2,1,4,2,1,0,3,2,2,1,5,3,5,4,2,2,3,4,2,3,2,2,2,0,0,291
920,220,2,3,1,5,2,1,0,3,1,4,1,5,4,3,5,5,2,1,2,1,1,3,3,2,0,0,291
1818,186,1,0,1,1,3,1,0,2,1,4,3,3,1,3,5,4,1,2,2,1,3,3,3,1,0,0,291
243,125,2,2,1,2,2,1,3,2,4,5,2,5,5,5,4,1,4,1,4,2,4,2,1,2,4,4,291
1780,85,1,3,1,0,1,2,1,2,2,4,3,5,4,4,5,4,2,1,3,2,2,4,4,1,0,0,229
1183,786,1,3,1,2,2,1,2,3,4,4,3,5,5,4,5,3,2,1,1,1,3,3,3,2,0,1,291
2568,317,2,0,1,0,1,1,0,2,2,4,3,4,4,4,5,4,2,4,3,3,3,3,4,0,0,0,291
2494,113,1,0,1,0,2,0,0,3,1,3,2,4,4,3,4,4,1,2,2,3,1,4,3,0,0,0,291
2481,69,1,2,1,1,1,1,0,1,1,1,1,4,5,5,2,4,1,4,4,1,1,1,3,0,0,0,291
904,182,2,0,1,0,1,2,0,3,1,3,1,5,3,5,5,5,2,1,1,1,1,4,2,2,0,0,291
912,205,1,3,1,5,2,1,0,2,2,5,4,2,2,4,5,4,4,2,2,2,2,4,4,2,0,0,291
2491,103,2,3,1,1,1,0,1,2,2,4,3,4,4,4,4,4,2,1,1,1,3,4,3,0,0,0,291
1266,929,1,1,1,0,2,1,1,3,1,1,2,5,5,3,5,3,1,2,1,2,2,4,3,2,0,0,267
1445,1327,1,3,1,1,3,1,2,2,1,3,1,5,5,5,3,4,1,4,4,4,4,4,2,2,0,1,268
1841,227,2,3,1,1,3,0,0,2,1,2,2,3,3,5,4,5,1,3,2,2,3,4,2,1,0,0,225
899,175,2,3,1,1,2,1,0,3,1,5,2,4,4,4,3,3,3,2,4,3,2,4,1,2,0,0,291
840,1516,2,0,5,5,2,1,2,2,1,3,1,4,1,4,5,5,1,3,1,1,5,5,5,2,1,2,291
2469,1352,1,3,5,0,3,0,1,2,2,4,5,5,5,5,2,4,5,1,2,5,4,3,4,0,1,2,162
3080,1463,2,2,5,0,1,0,0,2,1,3,1,4,4,4,4,5,2,1,3,2,4,5,4,0,0,0,104
1099,646,1,0,5,0,1,2,0,2,2,4,2,4,4,5,4,5,2,1,1,1,1,1,4,2,0,0,291
285,1526,0,3,5,1,3,0,4,1,4,5,1,4,5,5,4,2,4,1,4,1,1,4,1,2,4,4,129
3070,1442,2,0,5,1,1,2,2,2,1,2,1,4,2,4,5,2,1,5,1,1,4,1,4,0,0,0,291
2698,642,1,2,5,0,3,2,2,3,4,4,1,4,4,4,2,2,3,2,4,3,4,4,3,0,0,1,291
520,1471,1,2,5,2,2,1,3,1,4,4,4,4,4,4,4,1,4,3,1,4,4,1,3,2,2,4,291
1198,817,2,0,5,0,3,0,0,2,2,4,3,4,4,4,5,4,2,2,2,3,2,4,4,2,0,0,291
853,31,1,3,5,0,2,0,3,2,1,3,4,5,5,5,4,4,2,1,1,1,1,4,1,2,1,2,291
2758,769,1,0,5,0,3,2,0,2,1,4,3,5,3,2,5,5,3,1,1,3,1,4,4,0,0,0,291
118,805,2,3,5,3,0,2,0,2,4,5,2,5,5,3,5,2,5,1,1,1,1,3,3,3,0,0,291
454,866,2,3,5,3,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,1,2,2,3,291
1257,920,1,2,5,2,2,0,3,2,5,2,1,3,4,3,2,3,1,2,1,1,5,3,4,2,0,1,291
2855,950,1,0,5,1,0,2,0,2,1,2,2,5,5,5,5,3,2,1,1,1,2,5,2,0,0,0,291
2981,1229,1,1,5,0,0,2,0,3,5,3,3,5,3,4,5,2,2,1,1,3,2,4,3,0,0,0,291
291,132,2,3,5,0,2,1,3,2,1,4,2,5,5,5,4,3,4,2,5,3,2,4,2,2,3,4,291
1915,439,1,3,5,2,2,1,1,3,4,4,2,5,4,2,4,4,2,4,1,1,2,5,5,1,0,0,291
3089,1479,2,3,5,0,1,0,2,3,4,2,3,5,4,5,4,2,4,3,4,3,4,4,3,0,0,0,103
2385,1496,2,3,5,0,1,0,0,3,3,5,3,5,5,5,5,5,3,1,2,3,3,4,3,1,0,4,291
125,874,1,3,5,3,0,1,0,1,3,5,3,4,1,1,4,5,3,1,1,3,1,4,5,3,0,0,291
672,845,1,3,5,5,2,1,2,2,4,4,1,5,5,4,5,2,1,1,4,3,1,4,1,2,1,3,291
1723,1136,2,1,5,0,3,1,2,2,4,4,4,2,4,4,4,2,4,4,4,4,4,3,3,1,1,1,232
2052,728,2,3,5,0,3,1,3,2,1,5,2,5,3,3,5,5,2,1,1,2,1,2,4,1,0,0,207
2659,559,2,3,5,3,3,0,0,2,3,4,1,5,4,4,4,2,2,1,4,2,3,4,2,0,0,0,291
3092,1485,1,0,5,4,1,0,0,3,1,4,1,4,3,4,4,4,1,4,3,1,1,1,3,0,0,0,291
2089,825,2,0,5,1,0,2,0,3,4,4,3,4,4,5,4,1,3,2,4,2,4,5,4,1,0,0,203
580,375,1,3,5,3,3,0,3,2,1,3,1,4,4,4,3,3,4,4,4,4,4,2,2,2,1,2,291
644,717,2,3,5,0,2,1,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,4,291
2507,142,1,3,5,0,0,1,0,3,2,2,3,2,2,2,2,1,1,1,2,2,1,2,2,0,0,0,291
34,289,1,0,5,1,3,0,0,2,1,2,2,5,5,5,4,4,3,1,2,2,2,2,2,3,0,0,291
3091,1484,1,0,5,0,1,2,2,2,5,2,3,4,4,4,5,5,2,1,1,3,1,1,2,0,0,0,291
89,609,1,2,5,1,3,1,0,3,4,4,3,4,5,5,5,3,2,2,4,2,2,5,5,3,0,0,291
2645,539,2,3,5,0,1,2,0,2,4,4,3,4,2,3,5,1,2,1,3,3,1,5,4,0,0,0,291
680,883,2,1,5,0,3,1,3,2,4,4,2,5,5,5,4,2,4,2,4,4,2,3,2,2,1,4,79
370,1440,2,3,5,1,3,1,3,2,4,3,3,4,4,4,3,1,2,3,3,2,4,2,3,2,3,4,291
1612,548,1,0,5,0,2,0,2,3,3,2,1,5,5,5,4,2,4,2,3,1,3,4,4,1,2,2,291
2780,821,1,3,5,3,1,2,1,2,4,5,1,4,5,3,4,5,3,1,1,1,1,1,3,0,0,0,134
2101,856,2,0,5,1,3,1,1,2,3,2,3,5,3,3,5,3,3,1,3,3,3,3,3,1,0,0,200
1590,664,2,2,5,1,2,1,3,2,2,2,1,2,2,2,2,2,2,1,2,1,3,2,1,1,3,4,291
404,537,2,0,5,2,2,2,3,3,4,3,3,4,5,5,5,4,2,1,3,3,3,4,4,2,2,0,291
2909,1067,1,3,5,0,1,2,0,3,4,5,2,5,5,4,5,3,2,1,4,3,1,4,4,0,0,0,291
510,1406,1,3,5,0,2,0,3,2,3,2,3,5,5,5,4,2,4,1,5,3,2,4,2,2,2,4,291
2061,743,2,0,5,0,3,0,1,2,2,2,2,5,4,5,4,4,2,2,4,4,5,4,3,1,0,0,205
2003,623,2,0,5,0,1,2,1,2,2,4,2,4,4,3,4,4,3,1,1,1,1,4,4,1,0,0,291
2470,1353,1,2,5,1,1,2,2,1,4,4,4,3,4,4,4,3,3,2,2,4,2,4,3,0,1,2,291
652,759,2,3,5,0,2,1,3,2,4,4,2,4,5,4,4,3,2,3,3,3,4,4,3,2,1,3,83
1695,879,1,3,5,0,3,0,2,2,4,3,3,4,5,5,5,4,4,1,3,3,3,3,2,1,1,0,237
1793,118,1,2,5,0,2,1,1,1,1,1,3,4,4,4,4,5,4,4,4,3,4,3,3,1,0,0,291
1796,122,1,0,5,0,3,2,0,2,1,3,3,5,4,4,5,5,1,1,1,3,3,3,3,1,0,0,227
259,681,2,1,5,1,3,1,3,2,2,3,2,4,4,4,3,3,4,3,4,3,4,3,3,2,4,4,291
583,395,1,2,5,5,2,1,4,2,1,5,1,5,2,3,5,3,1,1,1,1,1,5,3,2,1,1,291
1157,726,1,1,5,0,2,1,0,2,5,5,4,4,5,3,5,2,2,1,2,5,2,4,4,2,0,0,291
318,671,1,3,5,5,3,2,3,2,1,5,3,5,1,3,4,5,4,3,3,5,3,4,3,2,3,3,291
1982,590,2,1,5,0,1,1,0,2,4,5,5,4,4,4,5,4,2,1,5,5,3,4,3,1,0,0,291
1046,546,1,2,5,0,2,1,2,2,4,4,5,4,3,3,5,4,3,2,2,3,2,4,3,2,0,3,291
1669,622,2,2,5,0,3,0,0,2,2,3,3,4,4,3,5,4,3,1,1,2,1,4,3,1,1,1,291
2008,628,2,2,5,0,0,2,0,3,2,2,2,2,2,2,2,2,1,1,1,1,1,3,3,1,0,0,291
315,644,2,3,5,0,3,0,2,2,1,3,2,5,4,5,5,5,2,3,4,3,4,3,4,2,3,3,291
1228,871,1,3,5,1,3,0,2,2,4,4,2,4,5,5,5,4,1,1,1,1,3,3,3,2,0,3,291
702,959,1,2,5,1,2,0,3,2,1,2,1,4,4,4,3,3,3,4,3,1,4,4,4,2,1,3,77
1521,1499,2,1,5,5,2,1,1,2,1,1,1,3,1,4,4,4,1,2,3,3,1,4,3,2,0,0,291
1974,584,2,0,5,0,1,2,1,2,3,3,3,4,4,4,4,3,3,4,4,3,4,4,4,1,0,0,291
245,233,2,3,5,5,2,1,3,2,2,2,2,4,5,5,4,2,4,2,4,2,1,4,2,2,4,4,291
1622,967,2,1,5,1,3,1,3,1,1,5,4,5,5,4,4,5,4,1,1,1,1,4,3,1,2,2,291
1095,633,1,3,5,0,2,1,1,2,2,2,5,5,4,5,4,2,4,4,4,4,4,4,4,2,0,0,291
2334,1369,1,3,5,0,1,1,1,1,2,5,3,4,4,4,4,4,4,3,4,2,3,4,3,1,0,0,291
2359,1423,2,1,5,0,2,2,2,2,2,4,1,5,4,4,5,4,1,1,1,1,1,4,1,1,0,0,291
1151,719,1,2,5,0,2,1,3,2,5,5,1,5,5,3,3,3,3,1,3,1,4,3,3,2,0,3,291
1079,600,2,3,5,3,3,1,0,3,1,3,1,3,1,5,4,4,1,3,4,1,5,3,5,2,0,0,291
1715,1034,2,3,5,1,3,1,2,2,4,4,3,4,4,3,4,2,2,2,2,3,2,4,4,1,1,4,234
2680,606,2,0,5,1,1,2,2,2,1,1,1,5,3,4,5,5,1,1,1,1,4,4,4,0,0,0,146
1025,506,1,3,5,0,2,0,0,2,5,5,3,5,3,3,5,2,4,1,1,3,3,3,5,2,0,0,41
2196,1060,2,2,5,2,1,0,3,1,2,4,2,4,3,3,5,4,1,1,1,1,1,4,3,1,0,0,194
553,144,2,0,5,4,3,2,3,2,2,2,3,4,4,4,5,4,3,1,1,1,3,3,4,2,1,1,291
3022,1340,1,2,5,1,1,2,2,2,2,4,4,5,5,3,5,2,2,2,3,3,4,3,3,0,0,0,291
2188,1038,2,2,5,1,3,0,2,2,1,1,1,4,3,4,4,4,3,3,4,4,4,4,4,1,0,0,291
806,1411,2,3,5,2,2,2,3,2,2,4,1,5,5,5,5,3,2,1,1,1,1,1,1,2,1,4,291
447,814,1,1,5,2,3,2,3,2,4,2,4,4,4,2,5,3,2,3,2,1,5,4,1,2,2,2,92
2519,158,2,3,5,0,1,0,2,2,2,4,3,5,5,5,5,4,1,2,2,3,2,4,4,0,0,0,157
2480,66,1,1,5,5,1,2,1,3,1,3,3,5,3,4,5,4,3,1,1,1,3,3,3,0,0,0,291
773,1285,1,3,5,1,2,1,2,2,5,4,4,3,4,2,3,3,3,1,3,4,4,2,2,2,1,1,291
83,575,1,0,5,0,2,2,0,2,4,3,4,3,5,4,2,2,5,1,1,4,1,5,1,3,0,0,291
